,center,left,right,steering,throttle,brake,speed
3833,IMG/center_2016_12_01_13_39_06_777.jpg, IMG/left_2016_12_01_13_39_06_777.jpg, IMG/right_2016_12_01_13_39_06_777.jpg,0.0,0.5244156,0.0,17.07687
3549,IMG/center_2016_12_01_13_38_37_929.jpg, IMG/left_2016_12_01_13_38_37_929.jpg, IMG/right_2016_12_01_13_38_37_929.jpg,0.0,0.9855325999999999,0.0,30.185309999999998
7250,IMG/center_2016_12_01_13_45_22_113.jpg, IMG/left_2016_12_01_13_45_22_113.jpg, IMG/right_2016_12_01_13_45_22_113.jpg,0.0,0.9855325999999999,0.0,30.186220000000002
7150,IMG/center_2016_12_01_13_45_12_008.jpg, IMG/left_2016_12_01_13_45_12_008.jpg, IMG/right_2016_12_01_13_45_12_008.jpg,0.0,0.9855325999999999,0.0,30.18647
4955,IMG/center_2016_12_01_13_41_29_375.jpg, IMG/left_2016_12_01_13_41_29_375.jpg, IMG/right_2016_12_01_13_41_29_375.jpg,0.0,0.9855325999999999,0.0,30.18664
7468,IMG/center_2016_12_01_13_45_44_205.jpg, IMG/left_2016_12_01_13_45_44_205.jpg, IMG/right_2016_12_01_13_45_44_205.jpg,0.0,0.9855325999999999,0.0,30.18667
3799,IMG/center_2016_12_01_13_39_03_331.jpg, IMG/left_2016_12_01_13_39_03_331.jpg, IMG/right_2016_12_01_13_39_03_331.jpg,0.0,0.0,0.0,20.51698
631,IMG/center_2016_12_01_13_33_42_177.jpg, IMG/left_2016_12_01_13_33_42_177.jpg, IMG/right_2016_12_01_13_33_42_177.jpg,0.0,0.9855325999999999,0.0,30.186740000000004
6098,IMG/center_2016_12_01_13_43_25_255.jpg, IMG/left_2016_12_01_13_43_25_255.jpg, IMG/right_2016_12_01_13_43_25_255.jpg,0.0,0.9855325999999999,0.0,30.18635
1513,IMG/center_2016_12_01_13_35_11_606.jpg, IMG/left_2016_12_01_13_35_11_606.jpg, IMG/right_2016_12_01_13_35_11_606.jpg,0.0,0.9855325999999999,0.0,30.1867
455,IMG/center_2016_12_01_13_33_24_337.jpg, IMG/left_2016_12_01_13_33_24_337.jpg, IMG/right_2016_12_01_13_33_24_337.jpg,0.0,0.9855325999999999,0.0,30.186629999999997
6955,IMG/center_2016_12_01_13_44_52_171.jpg, IMG/left_2016_12_01_13_44_52_171.jpg, IMG/right_2016_12_01_13_44_52_171.jpg,0.0,0.9855325999999999,0.0,30.063909999999996
5780,IMG/center_2016_12_01_13_42_53_014.jpg, IMG/left_2016_12_01_13_42_53_014.jpg, IMG/right_2016_12_01_13_42_53_014.jpg,0.0,0.9855325999999999,0.0,30.186529999999998
7902,IMG/center_2016_12_01_13_46_28_277.jpg, IMG/left_2016_12_01_13_46_28_277.jpg, IMG/right_2016_12_01_13_46_28_277.jpg,0.0,0.0,0.0,25.584570000000003
4532,IMG/center_2016_12_01_13_40_46_489.jpg, IMG/left_2016_12_01_13_40_46_489.jpg, IMG/right_2016_12_01_13_40_46_489.jpg,0.0,0.9855325999999999,0.0,16.63064
6047,IMG/center_2016_12_01_13_43_20_073.jpg, IMG/left_2016_12_01_13_43_20_073.jpg, IMG/right_2016_12_01_13_43_20_073.jpg,0.0,0.9855325999999999,0.0,30.11252
7927,IMG/center_2016_12_01_13_46_30_816.jpg, IMG/left_2016_12_01_13_46_30_816.jpg, IMG/right_2016_12_01_13_46_30_816.jpg,0.0,0.0,0.0,3.11734
6714,IMG/center_2016_12_01_13_44_27_763.jpg, IMG/left_2016_12_01_13_44_27_763.jpg, IMG/right_2016_12_01_13_44_27_763.jpg,0.0,0.9855325999999999,0.0,30.186559999999997
4699,IMG/center_2016_12_01_13_41_03_438.jpg, IMG/left_2016_12_01_13_41_03_438.jpg, IMG/right_2016_12_01_13_41_03_438.jpg,0.0,0.9855325999999999,0.0,30.1866
293,IMG/center_2016_12_01_13_33_07_936.jpg, IMG/left_2016_12_01_13_33_07_936.jpg, IMG/right_2016_12_01_13_33_07_936.jpg,0.0,0.9855325999999999,0.0,30.186609999999998
5046,IMG/center_2016_12_01_13_41_38_595.jpg, IMG/left_2016_12_01_13_41_38_595.jpg, IMG/right_2016_12_01_13_41_38_595.jpg,0.0,0.9855325999999999,0.0,30.186629999999997
