Centre Image, Left Image, Right Image, Steering Angle, Throttle, Brake, Speed
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_11_497.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_11_497.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_11_497.jpg, 0, 0, 0, 0.4192009
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_11_597.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_11_597.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_11_597.jpg, 0, 0, 0, 0.4149941
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_11_700.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_11_700.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_11_700.jpg, 0, 0, 0, 0.4100017
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_11_809.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_11_809.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_11_809.jpg, 0, 0, 0, 0.4058875
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_11_910.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_11_910.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_11_910.jpg, 0, 0, 0, 0.001088853
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_12_012.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_12_012.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_12_012.jpg, 0, 0, 0, 0.001221681
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_12_116.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_12_116.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_12_116.jpg, 0, 0, 0, 0.0006745029
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_12_227.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_12_227.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_12_227.jpg, 0, 0, 0, 0.0001784746
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_12_327.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_12_327.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_12_327.jpg, 0, 0, 0, 8.284333E-05
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_12_430.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_12_430.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_12_430.jpg, 0, 0, 0, 9.221787E-05
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_12_543.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_12_543.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_12_543.jpg, 0, 0.050928, 0, 0.02860928
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_12_647.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_12_647.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_12_647.jpg, 0, 0.3461519, 0, 0.4144838
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_12_759.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_12_759.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_12_759.jpg, 0, 0.700191, 0, 1.097097
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_12_875.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_12_875.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_12_875.jpg, -0.2627159, 1, 0, 2.172121
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_12_992.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_12_992.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_12_992.jpg, 0, 1, 0, 3.57692
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_13_094.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_13_094.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_13_094.jpg, 0, 1, 0, 4.748877
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_13_200.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_13_200.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_13_200.jpg, 0, 1, 0, 6.137662
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_13_310.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_13_310.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_13_310.jpg, -0.0440939, 1, 0, 7.282322
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_13_420.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_13_420.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_13_420.jpg, -0.2294698, 1, 0, 8.616853
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_13_522.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_13_522.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_13_522.jpg, 0, 1, 0, 9.733888
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_13_625.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_13_625.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_13_625.jpg, 0, 1, 0, 10.8428
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_13_730.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_13_730.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_13_730.jpg, 0, 1, 0, 12.07127
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_13_833.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_13_833.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_13_833.jpg, 0, 1, 0, 13.05684
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_13_945.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_13_945.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_13_945.jpg, 0, 1, 0, 14.17849
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_14_053.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_14_053.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_14_053.jpg, 0, 1, 0, 15.49213
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_14_156.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_14_156.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_14_156.jpg, 0, 1, 0, 16.31944
/Users/jessica/Downloads/behavioural-cloning/IMG/center_2016_12_10_19_17_14_262.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/left_2016_12_10_19_17_14_262.jpg, /Users/jessica/Downloads/behavioural-cloning/IMG/right_2016_12_10_19_17_14_262.jpg, 0, 1, 0, 17.58882
